year,region,housing_starts_saar,housing_starts_growth_pct
2002,Saskatchewan,2944.9166666666665,24.656954389925566
2003,Saskatchewan,3306.9166666666665,12.29236820509918
2004,Saskatchewan,3805.0,15.06186528236273
2005,Saskatchewan,3360.0,-11.695137976346913
2006,Saskatchewan,3683.4166666666665,9.625496031746028
2007,Saskatchewan,5889.0,59.8787357752087
2008,Saskatchewan,6876.333333333333,16.76572140148298
2009,Saskatchewan,3749.1666666666665,-45.47724077754617
2010,Saskatchewan,5956.416666666667,58.87308290731275
2011,Saskatchewan,6987.0,17.302069197084368
2012,Saskatchewan,9965.75,42.63274652926865
2013,Saskatchewan,8272.916666666666,-16.986512137403952
2014,Saskatchewan,8256.833333333334,-0.19440946864768271
2015,Saskatchewan,5150.5,-37.62136412264589
2016,Saskatchewan,4835.083333333333,-6.124000906060911
2017,Saskatchewan,4954.5,2.469795418900067
2018,Saskatchewan,3592.5,-27.490160460187706
2019,Saskatchewan,2441.6666666666665,-32.03433078172119
2020,Saskatchewan,3068.75,25.682593856655302
2021,Saskatchewan,4251.083333333333,38.52817379497624
2022,Saskatchewan,4214.583333333333,-0.8586046693979998
2023,Saskatchewan,4597.083333333333,9.07563025210083
2024,Saskatchewan,4287.0,-6.745218888788173
2025,Saskatchewan,6115.083333333333,42.642485032268084
2026,Saskatchewan,6609.333333333333,8.082473664845114
